thomas_num,thomas_name,id,icpsr,congress,year,st_name,cd,Democrat?,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,LES,LES Rank In Party,Total in Party,Benchmark,Expectations?
72,"Clancy, Donald",933502,10510,93,1973-74,OH,2,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0.160220668,117,196,0.433795393,Below Expectations
73,"Clark, Frank",933825,1763,93,1973-74,PA,25,1,0,0,0,0,0,48,1,1,1,1,0,0,0,0,0,0.711110175,121,244,1.665719867,Below Expectations
74,"Clausen, Don",930501,10579,93,1973-74,CA,1,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,0.178826943,104,196,0.406719685,Below Expectations
75,"Clawson, Del",930523,10580,93,1973-74,CA,23,0,0,0,0,0,0,9,0,0,0,0,2,1,1,1,1,0.141188353,124,196,0.406719685,Below Expectations
76,"Clay, William",932501,12009,93,1973-74,MO,1,1,0,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0.489902288,141,244,0.53788811,Meets Expectations
77,"Cleveland, James",932902,10581,93,1973-74,NH,2,0,0,0,0,0,0,27,0,0,0,0,2,1,1,1,1,0.234219715,80,196,0.406719685,Meets Expectations
78,"Cochran, Thad",932404,14009,93,1973-74,MS,4,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0.104401857,139,196,0.271341175,Below Expectations
79,"Cohen, William",931902,14010,93,1973-74,ME,2,0,1,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0.259454131,75,196,0.271341175,Meets Expectations
80,"Collier, Harold",931306,1941,93,1973-74,IL,6,0,0,0,0,0,0,51,0,0,0,0,3,0,0,0,0,0.266689897,72,196,0.487946808,Meets Expectations
81,"Collins, Cardiss",931307,14068,93,1973-74,IL,7,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.056852497,224,244,0.483736724,Below Expectations
82,"Collins, James",934303,11066,93,1973-74,TX,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0.082694538,152,196,0.325492561,Below Expectations
83,"Conable, Barber",933235,10712,93,1973-74,NY,35,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0.176759586,107,196,0.379643977,Below Expectations
